,Player,PTS,MP,Age,YOS,Pos,Draft Status,2022-23,Draft Rank
0,Precious Achiuwa,9.1,23.6,22,2,SF,2020 Rnd 1 Pick 20,2840160,20
1,Steven Adams,6.9,26.3,29,9,C,2013 Rnd 1 Pick 12,17926829,12
2,Bam Adebayo,19.1,32.6,25,5,C,2017 Rnd 1 Pick 14,30351780,14
3,Ochai Agbaji,0.0,16.94066218571563,22,0,SF,2022 Rnd 1 Pick 14,3918360,14
4,Santi Aldama,4.1,11.3,21,1,C,2021 Rnd 1 Pick 30,2094240,30
5,Nickeil Alexander-Walker,10.6,22.6,23,3,SG,2019 Rnd 1 Pick 17,5009633,17
6,Grayson Allen,11.1,27.3,26,4,SG,2018 Rnd 1 Pick 21,9350000,21
7,Jarrett Allen,16.1,32.3,24,5,C,2017 Rnd 1 Pick 22,20000000,22
8,Jose Alvarado,6.1,15.4,24,1,G,"2021 NBA Draft, Undrafted",1563518,61
9,Kyle Anderson,7.6,21.5,28,8,PF,2014 Rnd 1 Pick 30,8780000,30
10,Giannis Antetokounmpo,29.9,32.9,27,9,F,2013 Rnd 1 Pick 15,42492492,15
11,Thanasis Antetokounmpo,3.6,9.9,30,4,SF,2014 Rnd 2 Pick 21,1815677,51
12,Cole Anthony,16.3,31.7,22,2,PG,2020 Rnd 1 Pick 15,3613680,15
13,OG Anunoby,17.1,36.0,25,5,SF,2017 Rnd 1 Pick 23,17357143,23
14,Adonis Arms,0.0,8.91061594953117,24,0,F,"2022 NBA Draft, Undrafted",508891,61
15,Deni Avdija,8.4,24.2,21,2,SG,2020 Rnd 1 Pick 9,4916160,9
16,Deandre Ayton,17.2,29.5,24,4,C,2018 Rnd 1 Pick 1,30913750,1
17,Udoka Azubuike,4.7,11.5,22,2,C,2020 Rnd 1 Pick 27,2174880,27
18,Marvin Bagley,11.3,23.9,23,4,PF,2018 Rnd 1 Pick 2,12500000,2
19,Patrick Baldwin,0.0,12.416329724808072,19,0,SG,2022 Rnd 1 Pick 28,2226000,28
20,LaMelo Ball,20.1,32.3,20,2,G,2020 Rnd 1 Pick 3,8623920,3
21,Lonzo Ball,13.0,34.6,24,5,PG,2017 Rnd 1 Pick 2,19534884,2
22,Mo Bamba,10.6,25.7,24,4,C,2018 Rnd 1 Pick 6,10300000,6
23,Paolo Banchero,0.0,30.422319021981764,19,0,C,2022 Rnd 1 Pick 1,11055120,1
24,Desmond Bane,18.2,29.8,24,2,SG,2020 Rnd 1 Pick 30,2130240,30
25,Dalano Banton,3.2,10.9,22,1,PG,2021 Rnd 2 Pick 16,1563318,46
26,Dominick Barlow,0.0,8.91061594953117,20,0,F,"2022 NBA Draft, Undrafted",508891,61
27,Harrison Barnes,16.4,33.6,30,10,SF,2012 Rnd 1 Pick 7,18352273,7
28,Scottie Barnes,15.3,35.4,21,1,SF,2021 Rnd 1 Pick 4,7644720,4
